frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,nan,nan,nan,0.0,-1,-1
17,566,0,nan,nan,nan,0.0,-1,-1
18,600,0,nan,nan,nan,0.0,-1,-1
19,633,0,nan,nan,nan,0.0,-1,-1
20,666,0,nan,nan,nan,0.0,-1,-1
21,700,0,nan,nan,nan,0.0,-1,-1
22,733,0,nan,nan,nan,0.0,-1,-1
23,766,0,nan,nan,nan,0.0,-1,-1
24,800,0,0.897139847278595,0.3317749798297882,-0.10450110584497452,0.9996228218078613,861,179
24,800,1,0.8976608514785767,0.3250298500061035,-0.10940753668546677,0.999461829662323,861,175
24,800,2,0.897603452205658,0.32580387592315674,-0.10960541665554047,0.9995183944702148,861,175
24,800,3,0.8974321484565735,0.32675936818122864,-0.10955490171909332,0.9996125102043152,861,176
24,800,4,0.8975803852081299,0.3235371708869934,-0.10088253766298294,0.9995054006576538,861,174
24,800,5,0.8975223898887634,0.3234144449234009,-0.1010814681649208,0.9996033310890198,861,174
24,800,6,0.8973194360733032,0.32337209582328796,-0.10115913301706314,0.9996274709701538,861,174
24,800,7,0.8983334898948669,0.3311249017715454,-0.10848409682512283,0.9997106194496155,862,178
24,800,8,0.8983168005943298,0.32773226499557495,-0.07017051428556442,0.9993315935134888,862,176
24,800,9,0.8970028162002563,0.34441614151000977,-0.1003289520740509,0.9993799924850464,861,185
24,800,10,0.8971073031425476,0.34353506565093994,-0.09058798104524612,0.9990517497062683,861,185
24,800,11,0.9076517224311829,0.3946652412414551,-0.13415850698947906,0.9999598264694214,871,213
24,800,12,0.8903818130493164,0.38984018564224243,0.010068723000586033,0.9995317459106445,854,210
24,800,13,0.9307428002357483,0.48400014638900757,-0.1306537240743637,0.9309908151626587,893,261
