frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,nan,nan,nan,0.0,-1,-1
17,566,0,nan,nan,nan,0.0,-1,-1
18,600,0,0.057912327349185944,0.29075753688812256,-0.04208504036068916,0.9685803651809692,55,157
18,600,1,0.05760369449853897,0.28144198656082153,-0.028969135135412216,0.9621864557266235,55,151
18,600,2,0.0584750771522522,0.2814652621746063,-0.02915354259312153,0.964927077293396,56,151
18,600,3,0.05958046764135361,0.28170856833457947,-0.029138144105672836,0.9736167788505554,57,152
18,600,4,0.054431404918432236,0.28170478343963623,-0.0435594879090786,0.9744707942008972,52,152
18,600,5,0.053360000252723694,0.28200215101242065,-0.04380457103252411,0.9809108376502991,51,152
18,600,6,0.051680803298950195,0.284601628780365,-0.0439947172999382,0.9861239194869995,49,153
18,600,7,0.057681597769260406,0.28473567962646484,0.028261493891477585,0.9815660715103149,55,153
18,600,8,0.04653605446219444,0.28897419571876526,-0.03573857992887497,0.9732946753501892,44,156
18,600,9,0.05916811525821686,0.3008272647857666,-0.018387148156762123,0.9668907523155212,56,162
18,600,10,0.05544762313365936,0.30356013774871826,-0.03835192695260048,0.9677846431732178,53,163
18,600,11,0.06852173805236816,0.36057591438293457,0.09268918633460999,0.9981368780136108,65,194
18,600,12,0.03147024288773537,0.35022151470184326,-0.07364296168088913,0.9979077577590942,30,189
18,600,13,0.0719328448176384,0.4614998400211334,0.11191310733556747,0.11196134239435196,69,249
18,600,14,0.042547617107629776,0.456916868686676,-0.1021348163485527,0.6271852850914001,40,246
18,600,15,0.0817372128367424,0.5200867056846619,0.04185066372156143,0.1116311326622963,78,280
18,600,16,0.08131608366966248,0.5257716178894043,-0.09919392317533493,0.405844122171402,78,283
18,600,17,0.08713547140359879,0.5433471202850342,0.03969233110547066,0.15329992771148682,83,293
